,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
0,,710 - 2nd Avenue,Suite 1100,98104,Seattle,WA,USA,47.603122,-122.333253
1,,270 Lafayette Street,Suite 505,10012,New York,NY,USA,40.7237306,-73.9964312
0,Headquarters,4900 Hopyard Rd.,Suite 310,94588,Pleasanton,CA,USA,37.692934,-121.904945
0,Headquarters,4900 Hopyard Rd,Suite 310,94588,Pleasanton,CA,USA,37.692934,-121.904945
0,,135 Mississippi St,,94107,San Francisco,CA,USA,37.764726,-122.394523
0,Headquarters,1601 Willow Road,,94025,Menlo Park,CA,USA,37.41605,-122.151801
1,Europe HQ,,,,Dublin,,IRL,53.344104,-6.267494
2,New York,340 Madison Ave,,10017,New York,NY,USA,40.7557162,-73.9792469
0,,Suite 200,654 High Street,94301,Palo Alto,CA,ISR,,
0,,"959 Skyway Road, Suite 200",,94070,San Carlos,CA,USA,37.506885,-122.247573
0,Headquarters,9229 W. Sunset Blvd.,,90069,West Hollywood,CA,USA,34.090368,-118.393064
0,,"8536 National Blvd, Suite A",,90232,Culver City,CA,USA,34.025958,-118.379768
0,,407 N Maple Dr,,90210,Beverly Hills,CA,USA,34.076179,-118.39417
0,,1355 Market St.,,94103,San Francisco,CA,USA,37.7768052,-122.4169244
0,,,,,San Francisco,CA,USA,37.775196,-122.419204
1,,,,,New York City,NY,USA,,
0,,,,,Menlo Park,CA,USA,37.48413,-122.169472
0,HQ,539 Bryant Street,,94107,San Francisco,CA,USA,37.789634,-122.404052
0,,16935 W. Bernardo Dr. Suite 101,,92127,San Diego,CA,USA,33.022176,-117.081406
0,Lala Headquarters,209 Hamilton Ave,Suite #200,94301,Palo Alto,CA,USA,37.451151,-122.154369
0,,10960 Wilshire Blvd.,Suite 700,90024,Los Angeles,CA,USA,34.057498,-118.446596
0,Headquarters,2145 Hamilton Avenue,,95125,San Jose,CA,USA,37.295005,-121.930035
0,,,,,New York City,NY,USA,40.757929,-73.985506
0,,100 5th Ave Fl 6,,10011-6903,New York,NY,USA,40.7464969,-74.0094471
0,,,,,,CA,USA,37.269175,-119.306607
0,HQ,1515 Broadway,,10036,New York,NY,USA,40.757725,-73.986011
0,,,,,London,,GBR,53.344104,-6.267494
0,HQ,"1050 Enterprise Way, 5th floor",,94089,Sunnyvale,CA,USA,37.387845,-122.055197
0,Headquarters,170 West Tasman Dr.,,95134,San Jose,CA,USA,37.408802,-121.95377
0,,701 First Avenue,,94089,Sunnyvale,CA,USA,37.418531,-122.025485
0,,475 Brannan St,,94107,San Francisco,CA,USA,37.778613,-122.395289
0,,360 Post St. Ste. 1100,,94108,San Francisco,CA,USA,37.779558,-122.393041
0,Corporate Headquarters,"Wethered House, Pound Lane",,SL7 2AF,Buckinghamshire,,GBR,,
0,HQ - Virginia,1595 Spring Hill Road,Suite 300,22182,Vienna,VA,USA,38.926172,-77.245195
1,New York Office,568 Broadway,"11th Floor, Suite 1105",10012,New York,NY,USA,40.724604,-73.996876
2,Los Angeles Office,10555-A Jefferson Blvd.,,90232,Culver City,CA,USA,34.0263021,-118.380954
3,Chicago Office,225 West Washington,Ste. 2200,60606,Chicago,IL,USA,,
4,San Francisco Office,505 Montgomery Street,"10th Floor, Suite 42",94111,San Francisco,CA,USA,,
5,Michigan Office,2605 Crooks Road,Unit A,48084,Troy,MI,USA,42.557958,-83.167884
0,Headquarters,888 East Walnut Street,,91101,Pasadena,CA,USA,34.1494713,-118.1327468
1,New York,584 Broadway,8th Floor,10012,New York,NY,USA,,
2,London,1 Maple Place,,W1T 4BB,London,,GBR,,
3,Tokyo,4-12-25 Minami-Azabu,Minato-ku,1060047,Tokyo,,JPN,,
4,Munich,Maximilianstrasse 35a,,80539,Munich,,DEU,,
0,,3525 Eastham Dr.,,90232,Culver City,CA,USA,34.017606,-118.487267
0,,,,,,,USA,37.09024,-95.712891
0,,442 Post Street,10th Floor,94102,San Francisco,CA,USA,37.788482,-122.409173
0,,10180 Telesis Court Suite,Suite  400,92121,San Diego,CA,USA,32.902266,-117.20834
0,,7950 Jones Branch Drive,,22107,McLean,VA,USA,38.929289,-77.216585
0,,,,,Austin,TX,USA,30.268735,-97.745209
0,,475 Park Ave South,10th Floor,10016,New York,NY,USA,37.480999,-122.173887
0,,180 North Stetson Avenue,Suite 3500,60601,Chicago,IL,USA,41.885619,-87.622309
0,,,,,Palo Alto,CA,USA,37.437328,-122.159928
0,,632 Broadway,10th Floor,10012,New York,NY,USA,40.72604,-73.995722
0,,440 N. Wolfe Road,,94085,Sunnyvale,CA,USA,37.384239,-122.012475
0,,,,,,,USA,37.09024,-95.712891
0,,"60 E. Rio Salado Pkwy, Suite 400",,85281,Tempe,AZ,USA,33.429859,-111.938739
0,,"400 Montgomery St, Suite 900",,94104,San Francisco,CA,USA,37.793148,-122.402567
0,,6601 Owens Dr # 240,,94588,Pleasanton,CA,USA,37.697805,-121.907768
0,,"67 E. Evelyn Ave, Suite 200",,94041,Mountain View,CA,USA,37.390056,-122.067692
0,,101 2nd Street,15th Floor,94105,San Francisco,CA,USA,37.78976,-122.402524
0,Google Headquarters,1600 Amphitheatre Parkway,,,Mountain View,CA,USA,37.421972,-122.084143
1,Google Ann Arbor,112 S. Main St.,2nd Floor,48104,Ann Arbor,MI,USA,42.280988,-83.748882
2,Google Atlanta,10 10th Street NE,Suite 600,30309,Atlanta,GA,USA,33.781466,-84.387519
3,Google Austin,Plaza 7000,"7000 North MoPac Expressway, 2nd Floor",78731,Austin,TX,USA,30.351416,-97.751382
4,Google Boulder,2590 Pearl Street,Suite 100,80302,Boulder,CO,USA,40.021416,-105.260931
5,Google Cambridge,5 Cambridge Center,Floors 3-6,02142,Cambridge,MA,USA,42.36305,-71.087478
6,Google Chicago,20 West Kinzie St.,,60610,Chicago,IL,USA,41.889474,-87.628912
7,Google Coppell,701 Canyon Drive,Suite 120,75019,Coppell,TX,USA,32.981465,-97.018196
8,Google Dallas,3102 Oak Lawn,Suite 200,75219,Dallas,TX,USA,32.809161,-96.807693
9,Google Denver,4600 S. Syracuse St.,8th Floor,80237,Denver,CO,USA,39.62919,-104.898419
10,Google Detroit,114 Willits Street,,48009,Birmingham,MI,USA,42.547807,-83.215498
11,Google Irvine,19540 Jamboree Road,2nd Floor,92612,Irvine,CA,USA,33.658331,-117.861817
12,Google Kirkland,Central Way Plaza,"720 4th Avenue, Ste 400",98033,Kirkland,WA,USA,,
13,Google New York,76 Ninth Avenue,4th Floor,10011,New York,NY,USA,40.74222,-74.004489
14,Google Phoenix,1551 S. Rural Road,2nd floor,85281,Tempe,AZ,USA,33.411898,-111.926263
15,Google Pittsburgh,4720 Forbes Avenue,Lower Level,15213,Pittsburgh,PA,USA,40.444528,-79.946269
16,Google San Francisco,345 Spear Street,4th Floor,94105,San Francisco,CA,USA,37.789803,-122.389757
17,Google Santa Monica,604 Arizona Avenue,,90401,Santa Monica,CA,USA,34.019282,-118.494288
18,Google Seattle,Evanston Building,"501 N. 34th Street, Suite 300",98103,Seattle,WA,USA,47.675326,-122.351397
19,Google Seattle,651 N. 34th St.,,98103,Seattle,WA,USA,47.649701,-122.350592
20,Google Washington DC,"1101 New York Avenue, N.W.",Second Floor,20005,Washington,DC,USA,38.901113,-77.027101
21,Google Melbourne,"Rialto South Tower, Level 27",525 Collins Street,3000,Melbourne,,AUS,-37.879234,145.073608
22,Google Sydney,"Levels 11 & 18, Tower 1, Darling Park",201 Sussex St.,2000,Sydney,,AUS,-34.822723,138.612396
23,Google Beijing,Tsinghua Science Park Bldg 6,No. 1 Zhongguancun East Road,100084,Beijing,,CHN,,
24,Google Guangzhou,"Tower A, 23/F, Center Plaza","161 Lin he Xi Lu, Tian He District",510620,Guangzhou,,CHN,,
25,Google Shanghai,"16F, Raffles City","No.268 Xizang Zhong Road, Huangpu District",200001,Shanghai,,CHN,,
26,Google Hong Kong,One IFC - 18/F,1 Harbour View Street,,Central,,HKG,,
27,Google Bangalore,"Prestige Sigma, No. 3, 1st Floor",Vittal Mallya Road (Grant Road),560 001,Bangalore,,IND,,
28,Google Delhi,"Tower C, Level 9",Building No. 8,122002,Gurgaon,,USA,,
29,Google Delhi (Honeybee),"No. B1/A6, First Floor",Mohan Co-operative Industrial Estate Mathura Road,110044,New Delhi,,IND,28.86999,77.122261
30,Google Hyderabad,"BLOCK A, Fourth Floor","Plot No. 14, Road NO 2",500 081,Hyderabad,,IND,,
31,Google Mumbai,264-265 Vasvani Chambers,Dr Annie Besant Road,400 025,Mumbai,,IND,,
32,Google Japan Headquarters,6F Cerulean Tower,26-1 Sakuragaoka-cho,150-8512,Tokyo,,JPN,,
33,Google Osaka,"9F, Edobori Center Building",2-1-1 Edobori,550-0002,Osaka,,USA,,
34,Google Seoul,"22nd Floor, Gangnam Finance Center",737 Yeoksam-dong,135 984,Seoul,,PRK,,
35,Google Singapore,Level 25 North Tower,One Raffles Quay,048583,Singapore,,SGP,,
